homeTeam,awayTeam,matchDateUtc,stadiumName,status
"Hellas Verona","Como","2026-05-10T13:00:00Z","Marcantonio Bentegodi","UPCOMING"
"Atalanta","Bologna","2026-05-17T13:00:00Z","New Balance Arena","UPCOMING"
"Cagliari","Torino","2026-05-17T13:00:00Z","Unipol Domus","UPCOMING"
"Como","Parma","2026-05-17T13:00:00Z","Giuseppe Sinigaglia","UPCOMING"
"Genoa","Milan","2026-05-17T13:00:00Z","Luigi Ferraris","UPCOMING"
"Inter","Hellas Verona","2026-05-17T13:00:00Z","Giuseppe Meazza","UPCOMING"
"Juventus","Fiorentina","2026-05-17T13:00:00Z","Allianz Stadium","UPCOMING"
"Pisa","Napoli","2026-05-17T13:00:00Z","Cetilar Arena","UPCOMING"
"Roma","Lazio","2026-05-17T13:00:00Z","Olimpico","UPCOMING"
"Sassuolo","Lecce","2026-05-17T13:00:00Z","Mapei Stadium","UPCOMING"
"Udinese","Cremonese","2026-05-17T13:00:00Z","Friuli/Bluenergy stadium","UPCOMING"
"Bologna","Inter","2026-05-24T13:00:00Z","Renato Dall'Ara","UPCOMING"
"Cremonese","Como","2026-05-24T13:00:00Z","Giovanni Zini","UPCOMING"
"Fiorentina","Atalanta","2026-05-24T13:00:00Z","Artemio Franchi","UPCOMING"
"Lazio","Pisa","2026-05-24T13:00:00Z","Olimpico","UPCOMING"
"Lecce","Genoa","2026-05-24T13:00:00Z","Ettore Giardiniero - Via Del Mare","UPCOMING"
"Milan","Cagliari","2026-05-24T13:00:00Z","Giuseppe Meazza","UPCOMING"
"Napoli","Udinese","2026-05-24T13:00:00Z","Diego Armando Maradona","UPCOMING"
"Parma","Sassuolo","2026-05-24T13:00:00Z","Ennio Tardini","UPCOMING"
"Torino","Juventus","2026-05-24T13:00:00Z","Olimpico - Grande Torino","UPCOMING"
"Hellas Verona","Roma","2026-05-24T13:00:00Z","Marcantonio Bentegodi","UPCOMING"
